Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,Sequential,0.355207,2
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,MPI (4),0.102912,2
density_pattern_len64_pattern.txt vs density_case_000_d1.00e-06_text.txt,CUDA,0.639935,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,Sequential,0.355057,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,MPI (4),0.102432,2
density_pattern_len64_pattern.txt vs density_case_001_d1.12e-06_text.txt,CUDA,0.594551,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,Sequential,0.354453,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,MPI (4),0.102501,2
density_pattern_len64_pattern.txt vs density_case_002_d1.26e-06_text.txt,CUDA,0.591775,2
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,Sequential,0.354697,3
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,MPI (4),0.102535,3
density_pattern_len64_pattern.txt vs density_case_003_d1.42e-06_text.txt,CUDA,0.585531,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,Sequential,0.354388,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,MPI (4),0.103093,3
density_pattern_len64_pattern.txt vs density_case_004_d1.59e-06_text.txt,CUDA,0.601615,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,Sequential,0.354618,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,MPI (4),0.102376,3
density_pattern_len64_pattern.txt vs density_case_005_d1.79e-06_text.txt,CUDA,0.598729,3
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,Sequential,0.355711,4
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,MPI (4),0.102246,4
density_pattern_len64_pattern.txt vs density_case_006_d2.01e-06_text.txt,CUDA,0.593257,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,Sequential,0.354052,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,MPI (4),0.10314,4
density_pattern_len64_pattern.txt vs density_case_007_d2.26e-06_text.txt,CUDA,0.588611,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,Sequential,0.35461,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,MPI (4),0.103257,4
density_pattern_len64_pattern.txt vs density_case_008_d2.54e-06_text.txt,CUDA,0.588685,4
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,Sequential,0.354299,5
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,MPI (4),0.102654,5
density_pattern_len64_pattern.txt vs density_case_009_d2.85e-06_text.txt,CUDA,0.588969,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,Sequential,0.355511,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,MPI (4),0.102216,5
density_pattern_len64_pattern.txt vs density_case_010_d3.20e-06_text.txt,CUDA,0.59167,5
density_pattern_len64_pattern.txt vs density_case_011_d3.59e-06_text.txt,Sequential,0.35431,6
density_pattern_len64_pattern.txt vs density_case_011_d3.59e-06_text.txt,MPI (4),0.103318,6
density_pattern_len64_pattern.txt vs density_case_011_d3.59e-06_text.txt,CUDA,0.579401,6
density_pattern_len64_pattern.txt vs density_case_012_d4.04e-06_text.txt,Sequential,0.354328,7
density_pattern_len64_pattern.txt vs density_case_012_d4.04e-06_text.txt,MPI (4),0.103411,7
density_pattern_len64_pattern.txt vs density_case_012_d4.04e-06_text.txt,CUDA,0.589253,7
density_pattern_len64_pattern.txt vs density_case_013_d4.53e-06_text.txt,Sequential,0.354095,8
density_pattern_len64_pattern.txt vs density_case_013_d4.53e-06_text.txt,MPI (4),0.102952,8
density_pattern_len64_pattern.txt vs density_case_013_d4.53e-06_text.txt,CUDA,0.589021,8
density_pattern_len64_pattern.txt vs density_case_014_d5.09e-06_text.txt,Sequential,0.354291,8
density_pattern_len64_pattern.txt vs density_case_014_d5.09e-06_text.txt,MPI (4),0.102983,8
density_pattern_len64_pattern.txt vs density_case_014_d5.09e-06_text.txt,CUDA,0.590353,8
density_pattern_len64_pattern.txt vs density_case_015_d5.72e-06_text.txt,Sequential,0.354543,9
density_pattern_len64_pattern.txt vs density_case_015_d5.72e-06_text.txt,MPI (4),0.102171,9
density_pattern_len64_pattern.txt vs density_case_015_d5.72e-06_text.txt,CUDA,0.602292,9
density_pattern_len64_pattern.txt vs density_case_016_d6.43e-06_text.txt,Sequential,0.35415,11
density_pattern_len64_pattern.txt vs density_case_016_d6.43e-06_text.txt,MPI (4),0.10293,11
density_pattern_len64_pattern.txt vs density_case_016_d6.43e-06_text.txt,CUDA,0.590656,11
density_pattern_len64_pattern.txt vs density_case_017_d7.22e-06_text.txt,Sequential,0.354258,12
density_pattern_len64_pattern.txt vs density_case_017_d7.22e-06_text.txt,MPI (4),0.102536,12
density_pattern_len64_pattern.txt vs density_case_017_d7.22e-06_text.txt,CUDA,0.593607,12
density_pattern_len64_pattern.txt vs density_case_018_d8.11e-06_text.txt,Sequential,0.357535,13
density_pattern_len64_pattern.txt vs density_case_018_d8.11e-06_text.txt,MPI (4),0.1026,13
density_pattern_len64_pattern.txt vs density_case_018_d8.11e-06_text.txt,CUDA,0.59459,13
density_pattern_len64_pattern.txt vs density_case_019_d9.11e-06_text.txt,Sequential,0.354215,15
density_pattern_len64_pattern.txt vs density_case_019_d9.11e-06_text.txt,MPI (4),0.102455,15
density_pattern_len64_pattern.txt vs density_case_019_d9.11e-06_text.txt,CUDA,0.592232,15
density_pattern_len64_pattern.txt vs density_case_020_d1.02e-05_text.txt,Sequential,0.354614,16
density_pattern_len64_pattern.txt vs density_case_020_d1.02e-05_text.txt,MPI (4),0.102391,16
density_pattern_len64_pattern.txt vs density_case_020_d1.02e-05_text.txt,CUDA,0.588922,16
density_pattern_len64_pattern.txt vs density_case_021_d1.15e-05_text.txt,Sequential,0.357166,18
density_pattern_len64_pattern.txt vs density_case_021_d1.15e-05_text.txt,MPI (4),0.103221,18
density_pattern_len64_pattern.txt vs density_case_021_d1.15e-05_text.txt,CUDA,0.595669,18
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,Sequential,0.355214,21
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,MPI (4),0.102638,21
density_pattern_len64_pattern.txt vs density_case_022_d1.29e-05_text.txt,CUDA,0.589544,21
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,Sequential,0.354951,23
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,MPI (4),0.102453,23
density_pattern_len64_pattern.txt vs density_case_023_d1.45e-05_text.txt,CUDA,0.583461,23
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,Sequential,0.366072,26
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,MPI (4),0.102469,26
density_pattern_len64_pattern.txt vs density_case_024_d1.63e-05_text.txt,CUDA,0.60751,26
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,Sequential,0.355095,29
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,MPI (4),0.103048,29
density_pattern_len64_pattern.txt vs density_case_025_d1.83e-05_text.txt,CUDA,0.597297,29
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,Sequential,0.356018,33
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,MPI (4),0.102758,33
density_pattern_len64_pattern.txt vs density_case_026_d2.06e-05_text.txt,CUDA,0.594262,33
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,Sequential,0.357183,37
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,MPI (4),0.102719,37
density_pattern_len64_pattern.txt vs density_case_027_d2.31e-05_text.txt,CUDA,0.587898,37
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,Sequential,0.354409,41
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,MPI (4),0.103148,41
density_pattern_len64_pattern.txt vs density_case_028_d2.60e-05_text.txt,CUDA,0.590244,41
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,Sequential,0.354006,46
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,MPI (4),0.102396,46
density_pattern_len64_pattern.txt vs density_case_029_d2.92e-05_text.txt,CUDA,0.588301,46
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,Sequential,0.354515,52
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,MPI (4),0.102876,52
density_pattern_len64_pattern.txt vs density_case_030_d3.27e-05_text.txt,CUDA,0.593,52
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,Sequential,0.355309,58
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,MPI (4),0.102471,58
density_pattern_len64_pattern.txt vs density_case_031_d3.68e-05_text.txt,CUDA,0.591512,58
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,Sequential,0.354571,65
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,MPI (4),0.103075,65
density_pattern_len64_pattern.txt vs density_case_032_d4.13e-05_text.txt,CUDA,0.58983,65
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,Sequential,0.354426,73
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,MPI (4),0.123957,73
density_pattern_len64_pattern.txt vs density_case_033_d4.64e-05_text.txt,CUDA,0.592765,73
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,Sequential,0.355092,82
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,MPI (4),0.103676,82
density_pattern_len64_pattern.txt vs density_case_034_d5.21e-05_text.txt,CUDA,0.584591,82
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,Sequential,0.354972,92
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,MPI (4),0.10272,92
density_pattern_len64_pattern.txt vs density_case_035_d5.86e-05_text.txt,CUDA,0.588497,92
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,Sequential,0.354632,103
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,MPI (4),0.10245,103
density_pattern_len64_pattern.txt vs density_case_036_d6.58e-05_text.txt,CUDA,0.591741,103
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,Sequential,0.35447,116
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,MPI (4),0.102325,116
density_pattern_len64_pattern.txt vs density_case_037_d7.39e-05_text.txt,CUDA,0.593865,116
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,Sequential,0.354577,130
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,MPI (4),0.102773,130
density_pattern_len64_pattern.txt vs density_case_038_d8.30e-05_text.txt,CUDA,0.591919,130
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,Sequential,0.354452,146
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,MPI (4),0.102687,146
density_pattern_len64_pattern.txt vs density_case_039_d9.33e-05_text.txt,CUDA,0.592183,146
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,Sequential,0.356245,164
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,MPI (4),0.10264,164
density_pattern_len64_pattern.txt vs density_case_040_d1.05e-04_text.txt,CUDA,0.594924,164
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,Sequential,0.354441,184
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,MPI (4),0.102211,184
density_pattern_len64_pattern.txt vs density_case_041_d1.18e-04_text.txt,CUDA,0.592527,184
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,Sequential,0.354318,207
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,MPI (4),0.102408,207
density_pattern_len64_pattern.txt vs density_case_042_d1.32e-04_text.txt,CUDA,0.606227,207
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,Sequential,0.355622,233
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,MPI (4),0.102591,233
density_pattern_len64_pattern.txt vs density_case_043_d1.48e-04_text.txt,CUDA,0.584594,233
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,Sequential,0.354199,261
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,MPI (4),0.103091,261
density_pattern_len64_pattern.txt vs density_case_044_d1.67e-04_text.txt,CUDA,0.594504,261
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,Sequential,0.355859,293
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,MPI (4),0.103472,293
density_pattern_len64_pattern.txt vs density_case_045_d1.87e-04_text.txt,CUDA,0.585774,293
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,Sequential,0.354744,329
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,MPI (4),0.102747,329
density_pattern_len64_pattern.txt vs density_case_046_d2.10e-04_text.txt,CUDA,0.600491,329
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,Sequential,0.362861,370
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,MPI (4),0.102856,370
density_pattern_len64_pattern.txt vs density_case_047_d2.36e-04_text.txt,CUDA,0.588918,370
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,Sequential,0.354158,415
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,MPI (4),0.102471,415
density_pattern_len64_pattern.txt vs density_case_048_d2.66e-04_text.txt,CUDA,0.592529,415
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,Sequential,0.354569,467
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,MPI (4),0.10311,467
density_pattern_len64_pattern.txt vs density_case_049_d2.98e-04_text.txt,CUDA,0.587138,467
density_pattern_len64_pattern.txt vs density_case_050_d3.35e-04_text.txt,Sequential,0.354343,524
